Serial No._cnd,Job Title_cnd,Job Description_cnd,Skillset_cnd,Projects_cnd
1,Cybersecurity Analyst,"Monitors, detects, and responds to security threats within an organization’s systems; analyzes vulnerabilities and implements protections.","Network security, SIEM (Splunk/ELK), Threat detection, Incident response, Linux/Windows security","SIEM dashboard, Attack log analysis, Vulnerability scan, Incident response plan, Security audit"
2,Ethical Hacker,Simulates cyberattacks to identify system vulnerabilities before malicious actors can exploit them.,"Penetration testing, Networking, Kali Linux, Exploit frameworks, Web security (OWASP)","Web app penetration test, Vulnerability report, Phishing simulation, Lab exploitation, Bug bounty report"
3,Network Security Engineer,"Designs and implements secure network architectures, including firewalls, VPNs, and intrusion detection systems.","TCP/IP, Firewalls, IDS/IPS, VPN configuration, Security architecture","Secure network design, Firewall rule configuration, VPN system build, Traffic analysis, IDS setup"
4,SOC Analyst,Monitors and responds to real-time security incidents in an organization’s network environment.,"SIEM tools, Log analysis, Threat intelligence, Incident response, Security monitoring","SOC simulation, Log analysis system, Threat detection rules, Response workflow, Monitoring dashboard"
5,Application Security Engineer,Ensures software applications are secure by identifying and fixing vulnerabilities in source code.,"Secure coding, OWASP Top 10, Code review, Static/Dynamic analysis, Python/Java","Secure app development, Code vulnerability analysis, Authentication system, XSS/SQL testing, Security checklist"
6,Cloud Security Engineer,"Protects cloud infrastructure, ensuring secure deployment, access control, and data integrity.","AWS/Azure/GCP, IAM, Encryption, DevSecOps, Cloud networking","Secure cloud architecture, IAM implementation, Cloud monitoring, Encryption system, Security audit"
7,Digital Forensics Analyst,"Investigates cyber incidents by collecting, preserving, and analyzing digital evidence for reports.","Forensic tools, Data recovery, Investigation, File systems, Legal procedures","Disk analysis, Malware investigation, Log tracing, Evidence report, Case simulation"
8,Information Security Analyst,"Protects organizational data by implementing security policies, risk controls, and compliance frameworks.","Risk management, Security frameworks, Policy creation, Monitoring, Compliance","Security policy, Risk assessment, Data protection plan, Audit, Risk dashboard"
9,Malware Analyst,"Studies malicious software to understand its behavior, origin, and how to develop effective defenses.","Reverse engineering, Assembly, Sandboxing, Threat analysis, Programming","Malware reverse engineering, Sandbox setup, Behavior report, Detection system, Case study"
10,Security Consultant,Advises organizations on improving their overall cybersecurity posture and risk management strategies.,"Security strategy, Risk analysis, Compliance, Communication, Technical auditing","Security assessment, Risk report, Improvement roadmap, Audit, Strategy presentation"
11,Incident Response Specialist,"Manages active security incidents, conducts deep investigations, and restores compromised systems.","Incident response, Threat analysis, Forensics, Communication, Recovery","Incident simulation, Response plan, Log analysis, Recovery playbook, Post-incident report"
12,Threat Intelligence Analyst,Analyzes emerging cyber threats and attacker behavior to proactively defend against future attacks.,"Threat intel tools, OSINT, Data analysis, Reporting, Cybersecurity","Threat actor analysis, Intelligence reporting, Attack mapping, Threat dashboard, Case study"
13,Cryptography Engineer,Designs and implements encryption systems to secure sensitive data and communications.,"Cryptography, Encryption algorithms, Mathematics, Programming, PKI","Encryption system build, Secure messaging, Key management, Algorithm analysis, Implementation"
14,IAM Specialist,"Manages user identities and strict access control systems to ensure ""least privilege"" access.","IAM tools, Authentication, Authorization, Security policy, Cloud identity","IAM system build, Role-based access control, Authentication system, Identity audit, Access dashboard"
15,Security Automation Engineer,Builds automated security workflows and scripts to accelerate threat detection and response.,"Python, Automation, APIs, SIEM integration, DevOps","Automation scripts, Security alert system, API integration, Automated workflow, Automation dashboard"
16,DevSecOps Engineer,Integrates security practices and tools into the software development and deployment pipelines (CI/CD).,"DevOps, Security scanning tools, CI/CD, Cloud, Automation","Secure CI/CD pipeline, Automated code scanning, Monitoring integration, Secure deployment"
