Serial No._ETE,Job Title_ETE,Job Description_ETE,Skillset_ETE,Projects_ETE
1,EdTech Product Manager,"Leads the development of digital learning platforms, apps, and tools; coordinates with educators and developers for optimal outcomes.","Product management, Education systems, UX/UI, Data analytics, Agile/Scrum","EdTech app MVP, Product roadmap, User research, Feature prioritization, Learning analytics dashboard"
2,Instructional Designer,"Designs structured learning experiences, courses, and curriculum using pedagogical principles and digital media.","ADDIE model, Content structuring, LMS tools, Assessment design, Multimedia","Online course module, Curriculum framework, Assessment system, Learning materials, Course evaluation"
3,E-learning Developer,"Develops interactive digital courses using multimedia, animations, and learning platforms.","HTML/CSS/JS, Authoring tools (Articulate/Captivate), Multimedia design, LMS integration, UX","Interactive course, Quiz system, LMS integration, Multimedia content, Learning module"
4,Learning Experience Designer,"Focuses on designing engaging, user-friendly learning journeys using design thinking and psychology.","UX design, Learning psychology, Prototyping, Research, Design tools","Learning journey map, App UX design, Prototype, Usability testing, Feedback system"
5,Education Data Analyst,Analyzes student performance and institutional data to improve learning outcomes and decision-making.,"Data analysis, SQL/Python, Visualization, Statistics, Education metrics","Student performance dashboard, Dropout prediction model, Learning analytics system, Visualization, Report"
6,Online Tutor / Educator,"Delivers personalized, engaging lessons via digital platforms.","Subject expertise, Communication, Digital tools, Teaching methods, Assessment","Lesson plans, Mock teaching sessions, Learning materials, Student evaluation, Feedback analysis"
7,LMS Administrator,"Manages Learning Management Systems, ensuring smooth content delivery, user access, and tracking.","LMS platforms (Moodle/Canvas), User management, Data tracking, Technical support, Reporting","LMS setup, Course upload system, User management, Reporting dashboard, Maintenance system"
8,Curriculum Developer,Designs academic or professional curricula aligned with specific learning objectives and standards.,"Curriculum design, Pedagogy, Content creation, Assessment design, Research","Curriculum framework, Lesson plan series, Assessment system, Content mapping, Evaluation"
9,Educational Content Creator,"Creates engaging educational content, including video series, blogs, and digital courses.","Content creation, Video editing, Writing, Storytelling, SEO basics","Educational video series, Blog content, Course content, Script writing, Content strategy"
10,Academic Coordinator,"Oversees academic programs, scheduling, and logistical coordination between faculty and students.","Coordination, Communication, Planning, Administration, Reporting","Academic schedule system, Coordination workflow, Performance tracking, Reporting, Improvement plan"
11,Education Technology Specialist,Implements and manages various EdTech tools within school or corporate environments to enhance learning.,"EdTech tools, Training, System integration, Technical support, Analysis","Tool implementation, Training program, Integration system, Dashboard, Report"
12,Learning Analytics Specialist,Uses advanced data analytics to identify learning patterns and optimize educational strategies.,"Data analysis, Data visualization, Education metrics, Python/SQL, Reporting","Analytics dashboard, Performance model, Deep data analysis, Visualization, Report"
13,Assessment Designer,Creates rigorous tests and evaluation systems to measure learner progress and objective mastery.,"Assessment design, Psychometrics, Content creation, Data analysis, Tool usage","Test system build, Question bank, Evaluation model, Analysis, Report"
14,EdTech Software Engineer,"Develops the infrastructure, backends, and APIs for educational platforms and applications.","Programming, APIs, Database management, Cloud computing, UX basics","Learning app development, Backend system, API creation, Dashboard, Deployment"
15,Blended Learning Specialist,Designs educational programs that effectively combine online digital learning with traditional offline instruction.,"Pedagogy, Digital tools, Curriculum design, Communication, Analysis","Blended program design, Content design, Delivery plan, Evaluation, Report"
16,Educational Psychologist,Studies how students learn and applies psychological principles to develop better teaching methodologies.,"Psychology, Research, Data analysis, Assessment, Communication","Learning behavior study, Assessment analysis, Research paper, Model, Case study"
17,EdTech UX Designer,"Specifically designs user-friendly, accessible interfaces for educational platforms and student portals.","UX/UI design, Prototyping, User research, Design tools, Testing","App UI design, Wireframes, Prototype build, Usability testing, Redesign"
18,MOOC Developer,"Creates and manages large-scale, massive open online courses for global platforms (Coursera/edX style).","Content creation, LMS, Multimedia, Instructional design, Analytics","MOOC course build, Video content, Assessment integration, Platform deployment, Analysis"
19,Teacher Trainer (Digital),"Trains educators in the use of digital tools, pedagogical strategies, and modern teaching technologies.","Training facilitation, Communication, EdTech tools, Pedagogy, Evaluation","Training program design, Workshop delivery, Training materials, Assessment, Feedback gathering"
20,School Technology Coordinator,"Manages the integration, maintenance, and support of technology hardware and software in schools.","IT support, EdTech tools, Training, Management, Communication","Tech setup, Training facilitation, Hardware maintenance, Dashboard, Improvement plan"
21,Digital Curriculum Strategist,Designs long-term digital curriculum strategies aligned with modern learning trends and emerging technologies.,"Curriculum design, Strategy, EdTech tools, Research, Planning","Digital curriculum plan, Content mapping, Strategy document, Implementation plan, Evaluation"
22,Learning Platform Analyst,Analyzes performance and engagement data of educational platforms to drive continuous improvement.,"Data analysis, UX understanding, Analytics tools, Reporting, SQL","Platform performance analysis, User behavior study, Dashboard, Optimization, Report"
23,Educational Game Designer,Designs educational games that utilize game mechanics to enhance learning and engagement.,"Game design, Storytelling, UX, Programming basics, Creativity","Educational game design, Storyboard, Prototype build, Testing, Feedback"
24,Adaptive Learning Engineer,Builds systems that use ML to personalize learning paths based on individual student performance.,"Machine learning, Data analysis, Programming, Education systems, Algorithms","Adaptive learning system, Recommendation engine, Personalization model, Dashboard, Testing"
25,Educational Video Producer,Produces high-quality video content intended for educational or instructional purposes.,"Video editing, Storytelling, Scriptwriting, Production, Tech tools","Educational video series, Professional editing, Script development, Channel setup, Analysis"
26,Virtual Classroom Facilitator,"Manages live online sessions, ensuring active engagement and smooth technical delivery.","Communication, Tools (Zoom/Meet), Teaching, Engagement, Management","Live session facilitation, Engagement plan, Tools setup, Feedback collection, Report"
27,Education Policy Analyst,Analyzes educational policies and their socio-economic impacts on learners and institutions.,"Policy analysis, Research, Data analysis, Reporting, Communication","Policy impact study, Impact analysis, Formal report, Data study, Case study"
28,Academic Content Strategist,Plans and manages large-scale educational content strategies to ensure consistency and quality.,"Content planning, SEO, Education domain, Strategy, Analytics","Comprehensive content plan, Strategy development, Content calendar, Optimization, Report"
