Serial No._DM,Job Title_DM,Job Description_DM,Skillset_DM,Projects_DM
1,Digital Marketing Manager,"Plans, executes, and optimizes online marketing campaigns across multiple channels (SEO, social, email, paid ads) to drive traffic and conversions.","SEO, SEM, Google/Meta Ads, Analytics, Campaign strategy","Marketing strategy, Ad campaign, Performance dashboard, Funnel optimization, Campaign report"
2,SEO Specialist,"Optimizes websites to rank higher on search engines by improving content, technical SEO, and backlink authority.","Keyword research, On-page/Technical SEO, Link building, SEO tools, Analytics","SEO audit, Keyword research, Content optimization, Backlink strategy, Ranking tracker"
3,Performance Marketing Specialist,"Manages paid advertising campaigns specifically focused on ROI, conversions, and measurable business growth.","Google/Meta Ads, Conversion tracking, A/B testing, Funnel optimization, Data analysis","Simulated ad campaigns, Conversion funnel, A/B testing, CPC optimization, ROI dashboard"
4,Social Media Manager,"Manages brand presence across platforms (Instagram, LinkedIn, Twitter) focusing on engagement, community growth, and content.","Content planning, Algorithms, Analytics, Copywriting, Scheduling tools","Content calendar, Engagement metrics, Social growth strategy, Mock campaign, Brand voice guide"
5,Content Marketing Specialist,"Creates and distributes valuable, relevant content to attract and retain a clearly defined target audience.","Content writing, SEO, Storytelling, Research, Content strategy","Blog series, Content strategy, SEO content optimization, Content funnel, Audience research"
6,Email Marketing Specialist,"Designs and executes email campaigns to nurture leads, improve retention, and drive conversions through automation.","Email tools (Mailchimp, HubSpot), Copywriting, Automation, Segmentation, Analytics","Email funnel, Newsletter series, Automated workflows, A/B testing, Open rate analysis"
7,E-commerce Manager,"Oversees online store operations, product listings, pricing strategies, and sales performance.","Shopify/WooCommerce, Product management, Analytics, Pricing, Inventory management","Store build, Product listing optimization, Pricing strategy, Sales analysis, Conversion improvement"
8,Conversion Rate Optimization (CRO) Specialist,Improves website performance by increasing the percentage of visitors who perform a desired action.,"A/B testing, UX understanding, Analytics, Funnel optimization, Data interpretation","Website conversion audit, A/B testing, Funnel analysis, Landing page redesign, Conversion dashboard"
9,Affiliate Marketing Manager,Manages partnerships with affiliates to drive sales through performance-based marketing.,"Affiliate platforms, Partnership management, Tracking tools, Negotiation, Analytics","Affiliate program build, Affiliate recruitment, Performance tracking, Commission structure, Campaign analysis"
10,Marketplace Specialist,"Manages product listings, pricing, and advertising strategy on platforms like Amazon and Flipkart.","Marketplace algorithms, Product SEO, Ads (Amazon Ads), Pricing, Inventory","Amazon listing optimization, Marketplace ads, Keyword optimization, Competitor analysis, Sales dashboard"
11,PPC Specialist,"Manages paid advertising campaigns across search and social, focusing on maximizing ROI through precise bidding and targeting.","Google Ads, Keyword targeting, Bid strategies, Analytics, A/B testing","PPC campaign, Keyword research, Ad copy testing, Budget optimization, Performance analysis"
12,Growth Marketing Manager,"Focuses on rapid business growth through systematic experimentation, data analysis, and multi-channel strategies.","Growth hacking, Data analytics, Funnel optimization, A/B testing, Product marketing","Growth experiment plan, Funnel optimization, Acquisition strategy, Retention analysis, Growth dashboard"
13,Influencer Marketing Manager,Collaborates with influencers and creators to promote products and build brand awareness.,"Influencer outreach, Negotiation, Campaign management, Social media, Analytics","Influencer campaign, Outreach strategy, ROI analysis, Content collaboration, Performance tracking"
