Serial No. camp,Job Title_camp,Job Description_camp,Skillset_camp,Projects_camp
1,Creative Director,"Leads the overall creative vision, guiding teams of designers and writers to ensure brand alignment, originality, and impact.","Creative strategy, Leadership, Branding, Storytelling, Media knowledge","Brand campaign concept, Strategy document, Ad storyboard, Visual identity system, Portfolio project"
2,Video Producer,"Manages the full production lifecycle, from concept and scripting to final delivery, across video formats.","Video production, Project management, Storyboarding, Editing tools, Communication","Short film production, Video campaign, Script + storyboard, Editing project, Distribution plan"
3,Graphic Designer,"Develops visual assets including logos, posters, and digital creatives that translate concepts into compelling visuals.","Design tools (Adobe CC), Typography, Color theory, Creativity, Branding","Logo design, Brand kit, Social media creatives, Poster series, Portfolio"
4,Motion Graphics Designer,"Combines design and animation to create moving visuals for digital platforms, enhancing narrative depth.","After Effects, Animation, Design principles, Storyboarding, Video editing","Animated explainer video, Motion graphics ad, Title animation, Storyboard, Portfolio"
5,Film Editor,"Assembles raw footage into cohesive, polished narratives using precise timing, sound design, and color grading.","Editing tools (Premiere Pro/DaVinci), Storytelling, Sound design, Color correction","Short film edit, YouTube video edit, Color grading project, Trailer edit, Portfolio"
6,Content Creator,"Produces platform-specific content (YouTube/Instagram/TikTok), focusing on audience engagement and organic growth.","Content creation, Storytelling, Video/photo editing, Social media, Creativity","Content series, Video creation, Social media campaign, Script writing, Analytics review"
7,Scriptwriter,"Crafts scripts for film, video, and advertising, focusing on dialogue, pacing, and emotional resonance.","Writing, Narrative structure, Creativity, Research, Communication","Short film script, Ad script, Story outline, Dialogue writing, Portfolio"
8,Photographer,"Captures and edits high-end visual imagery for commercial, editorial, or personal artistic use.","Camera systems, Lighting, Composition, Editing tools, Creativity","Photo series, Portrait shoot, Product photography, Editing project, Portfolio"
9,Sound Designer,Develops the audio landscape for media projects by recording and mixing original soundscapes and effects.,"Audio software (DAW), Sound mixing, Creativity, Field recording, Timing","Sound design project, Podcast editing, Audio effects library, Mixing project, Portfolio"
10,Animator (2D/3D),"Builds movement and character performances for film, games, and advertising using industry-standard software.","Animation software (Maya/Blender), Storyboarding, Design, Creativity, Timing","Animated short, Character animation, Storyboard, Motion project, Portfolio"
