Serial No._HBT,Job Title_HBT,Job Description_HBT,Skillset_HBT,Projects_HBT
1,Clinical Data Analyst,"Analyzes clinical trial and patient data to support medical research and improve healthcare outcomes. Works with datasets from hospitals, trials, and pharma companies.","SQL, Python (Pandas), Biostatistics, Clinical data standards (CDISC), Data visualization (Tableau/Power BI), Knowledge of clinical trials","Analyze clinical trial dataset for drug effectiveness, Build patient outcome dashboard, Create data cleaning pipeline for hospital data, Visualize disease trends, Predict patient recovery rates"
2,Bioinformatics Scientist,"Uses computational tools to analyze biological data such as DNA, RNA, and proteins.","Python/R, Genomics & proteomics, Sequence alignment tools (BLAST), Machine learning, Data analysis","DNA sequence analysis tool, Gene expression analysis, Protein structure prediction, Genome comparison study, Disease gene identification model"
3,Medical Laboratory Technologist,Performs lab tests to diagnose diseases and support treatment decisions.,"Lab techniques, Microscopy, Sample handling, Medical knowledge, Quality control","Blood sample analysis study, Lab quality control system, Diagnostic test comparison, Sample tracking system, Lab automation workflow"
4,Healthcare Data Scientist,"Applies machine learning to healthcare data for prediction, diagnosis, and optimization.","Python (ML libraries), Statistics, Healthcare datasets, Data visualization, Deep learning basics","Disease prediction model, Patient readmission prediction, Medical image classification, Healthcare dashboard, Treatment outcome prediction"
5,Clinical Research Associate (CRA),"Monitors clinical trials ensuring compliance, data accuracy, and patient safety.","Clinical trial protocols, Regulatory knowledge, Data monitoring, Documentation, Communication","Clinical trial simulation, Trial monitoring checklist, Patient recruitment analysis, Compliance tracking system, Trial reporting dashboard"
6,Pharmacovigilance Specialist,Monitors drug safety and adverse effects after release.,"Drug safety regulations, Data analysis, Reporting systems, Medical knowledge, Risk assessment","Adverse drug reaction analysis, Safety reporting system, Drug risk dashboard, Case study on drug safety, Signal detection model"
7,Biomedical Engineer,Designs medical devices and healthcare technologies.,"Engineering principles, Medical device design, Electronics, Programming, CAD tools","Design wearable health monitor, Build heart rate sensor, Medical device prototype, Hospital equipment analysis, IoT health monitoring system"
8,Healthcare Administrator,"Manages hospital operations, staff, and healthcare services.","Management, Healthcare systems, Communication, Financial planning, Operations","Hospital workflow optimization, Patient management system, Staff scheduling system, Cost analysis, Healthcare service improvement plan"
9,Genetic Counselor,Advises patients on genetic conditions and risks.,"Genetics knowledge, Communication, Counseling skills, Data interpretation, Ethics","Genetic risk assessment model, Family health analysis, Case study on genetic disorders, Patient counseling simulation, Genetic data interpretation"
10,Medical Coding Specialist,Translates medical procedures into standardized codes for billing and records.,"ICD/CPT coding, Medical terminology, Attention to detail, Data entry, Compliance","Medical coding system, Billing automation tool, Coding accuracy analysis, Patient record system, Healthcare claims dataset"
11,Biostatistician,Applies statistics to biological and healthcare data for research and trials.,"Statistics, R/Python, Clinical trial analysis, Data modeling, Research methods","Clinical trial statistical analysis, Survival analysis model, Disease spread modeling, Data visualization, Hypothesis testing study"
12,Pharmaceutical Research Scientist,Develops new drugs through laboratory research and testing.,"Chemistry/biology, Lab research, Data analysis, Drug development, Documentation","Drug compound analysis, Lab experiment simulation, Drug testing dataset, Research paper, Chemical modeling"
13,Health Informatics Specialist,Manages healthcare data systems like EHR.,"Health IT systems, Data management, SQL, Interoperability, Analytics","EHR system design, Patient data dashboard, Health data integration, Data quality system, Analytics platform"
14,Medical AI Engineer,Builds AI systems for diagnostics and healthcare automation.,"Machine learning, Deep learning, Medical imaging, Python, Data engineering","Disease detection AI, X-ray image classifier, Clinical chatbot, Diagnosis prediction model, Healthcare AI dashboard"
15,Epidemiologist,Studies disease patterns and public health trends.,"Statistics, Public health, Data analysis, Research, Modeling","Disease spread model, Pandemic analysis, Public health dashboard, Risk factor study, Data visualization"
16,Clinical Trial Manager,Oversees execution of clinical trials.,"Trial management, Regulations, Leadership, Budgeting, Reporting","Trial planning, Budget model, Resource allocation, Timeline tracking, Trial dashboard"
17,Medical Writer,Creates scientific documents and reports.,"Writing, Medical knowledge, Research, Documentation, Communication","Clinical report, Drug documentation, Research summary, Blog/articles, Case study"
18,Healthcare UX Designer,Designs user-friendly healthcare apps.,"UX/UI, User research, Prototyping, Accessibility, Design tools","Health app UI, Patient dashboard, Usability testing, Wireframes, App redesign"
19,Medical Device Regulatory Specialist,Ensures devices meet safety regulations.,"Regulatory knowledge, Documentation, Compliance, Risk analysis, Quality systems","Compliance checklist, Regulatory report, Risk assessment, Device documentation, Audit simulation"
20,Hospital Operations Analyst,Improves hospital efficiency using data.,"Data analytics, Operations, Process optimization, Excel, Reporting","Patient flow analysis, Efficiency dashboard, Resource allocation model, Cost analysis"
21,Microbiologist,"Studies microorganisms such as bacteria, viruses, fungi, and parasites to understand their behavior, impact on human health, and potential use in medicine.","Microbiology techniques, Laboratory skills, Microscopy, Data analysis, Research methodology","Culture/analyze bacterial samples, Study antibiotic resistance, Microorganism classification database, Infection spread experiment, Microbial diseases report"
22,Immunologist,"Studies the immune system and its response to diseases, infections, and vaccines.","Immunology concepts, Lab techniques (ELISA), Data analysis, Research skills, Molecular biology","Analyze immune response dataset, Study vaccine effectiveness, Immune system simulation, Autoimmune disease case study, Antigen-antibody lab experiment"
23,Clinical Pharmacologist,"Studies how drugs interact with the human body, focusing on safety, dosage, and effectiveness.","Pharmacology knowledge, Clinical trials understanding, Data analysis, Drug interaction analysis, Regulatory awareness","Drug dosage optimization model, Analyze clinical drug trial data, Study drug interaction cases, Pharmacokinetics model, Safety evaluation report"
24,Healthcare Product Manager,"Leads the development of digital health products such as apps, platforms, and medical tools.","Product lifecycle management, Healthcare domain, UX/UI, Agile/Scrum, Data-driven decision making","Healthcare app MVP design, Telemedicine app roadmap, Patient/user research, Feature prioritization model, Mock product launch strategy"
25,Medical Imaging Specialist,"Works with technologies like MRI, CT scans, and X-rays to capture and analyze medical images.","Imaging technologies (MRI, CT), Image analysis, Medical knowledge, Attention to detail, Data interpretation","Analyze medical imaging dataset, Image classification model, Disease detection via scans, Image visualization tool, Imaging diagnostics case study"
26,HealthTech Software Engineer,Develops software systems and applications for healthcare.,"Programming (Python, Java, JS), APIs & backend, Database management, Security & compliance, Cloud basics","EHR system prototype, Telemedicine app backend, Patient management system, Healthcare API development, Authentication system"
27,Rehabilitation Specialist,Helps patients recover from injuries or illnesses through therapy programs and personalized plans.,"Therapy techniques, Patient assessment, Communication, Medical knowledge, Progress tracking","Rehabilitation plan design, Patient tracking system, Recovery data analysis, Injury recovery case study, Therapy effectiveness analysis"
28,Nutritionist / Dietitian,"Advises individuals on diet, nutrition, and healthy lifestyle choices.","Nutrition science, Diet planning, Health assessment, Communication, Data tracking","Personalized diet plan system, Nutrition tracking app, Dietary pattern analysis, Weight management case study, Meal recommendation engine"
29,Public Health Analyst,Analyzes health data at a population level to identify trends and guide policy.,"Data analysis, Public health knowledge, Statistics, Reporting, Visualization tools","Public health dataset analysis, Disease trend dashboard, Vaccination impact study, Policy recommendation report, Disease spread modeling"
30,Biotech Lab Technician,"Supports laboratory experiments by preparing samples, maintaining equipment, and recording results.","Lab techniques, Sample handling, Documentation, Equipment handling, Basic biology","Sample tracking system, Lab experiment documentation, Data recording system, Equipment maintenance log, Lab workflow automation"
31,Drug Regulatory Affairs Specialist,Ensures that pharmaceutical products comply with all regulations and are approved for market release.,"Regulatory frameworks, Documentation, Compliance, Communication, Attention to detail","Drug approval workflow system, Compliance checklist, Regulatory documentation, Audit simulation, Reporting system"
32,Clinical Database Programmer,Designs and manages databases for clinical trials and healthcare systems.,"SQL, Database design, Clinical data standards, Data validation, Programming basics","Clinical database design, Data validation system, Query optimization, Reporting dashboard, Data integration system"
33,Telemedicine Specialist,Manages and delivers healthcare services remotely using digital platforms.,"Telehealth systems, Communication, Digital tools, Patient handling, Healthcare knowledge","Telemedicine platform build, Video consultation system, Patient interface design, Workflow optimization, Feedback system"
34,Healthcare Business Analyst,Bridges the gap between healthcare operations and technology.,"Business analysis, Healthcare systems, Data analysis, Documentation, Problem-solving","Requirement gathering document, Workflow analysis, Process optimization, Dashboard creation, Case study"
35,Stem Cell Researcher,Studies stem cells and their applications in regenerative medicine and therapies.,"Cell biology, Lab research, Data analysis, Documentation, Scientific knowledge","Stem cell experiment, Research paper, Cell growth analysis, Lab data study, Case study"
