Serial No._agi,Job Title_agi,Job Description_agi,Skillset_agi,Projects_agp
1,Agri-Tech Specialist,"Uses digital tools, IoT, and analytics to improve crop yield, reduce costs, and enhance farming efficiency.","Agriculture fundamentals, IoT & sensors, Data analytics, GIS tools, Basic programming (Python)","Smart irrigation system, Crop yield analysis, Farm management dashboard, Soil monitoring system, Precision farming model"
2,Precision Agriculture Analyst,"Uses data from satellites, drones, and sensors to optimize farming practices and minimize resource usage.","GIS & remote sensing, Data analysis, Agronomy knowledge, Python/R, Satellite data tools","Satellite crop data analysis, Yield prediction model, Soil moisture analysis, Drone data processing, Farm optimization dashboard"
3,Sustainable Agriculture Consultant,Advises farmers and organizations on eco-friendly farming methods to preserve resources and improve long-term productivity.,"Sustainable farming practices, Environmental science, Consulting, Data analysis, Communication","Sustainable farm plan, Soil conservation model, Water usage analysis, Organic farming strategy, Environmental impact report"
4,Agricultural Data Scientist,"Applies machine learning and analytics to agricultural datasets to predict yields, detect diseases, and optimize resources.","Python (ML), Data analytics, Statistics, Agriculture knowledge, Visualization","Crop yield prediction model, Disease detection ML model, Weather impact analysis, Farm analytics dashboard, Recommendation system"
5,Smart Irrigation Engineer,Designs automated irrigation systems that use sensors and real-time data to optimize water consumption.,"IoT systems, Electronics, Water management, Programming, Automation","Automated irrigation system, Soil moisture sensor setup, Water optimization model, IoT dashboard, Field testing"
6,Agri Supply Chain Analyst,Analyzes and optimizes the agricultural supply chain from farm to market to reduce waste and improve efficiency.,"Supply chain management, Data analysis, Logistics, Excel/SQL, Forecasting","Supply chain mapping, Demand forecasting model, Waste reduction analysis, Logistics optimization, Dashboard"
7,Climate Change Analyst (Agri),Studies the impact of climate change on agriculture and develops strategies to mitigate risks.,"Climate science, Data modeling, GIS, Research, Reporting","Climate impact analysis, Crop risk model, Weather trend analysis, Adaptation strategy, Report"
8,Organic Farming Specialist,Promotes and manages organic farming practices that avoid synthetic chemicals and enhance soil health.,"Organic farming, Soil science, Pest control, Crop planning, Sustainability","Organic farm design, Soil health analysis, Pest control system, Crop rotation plan, Case study"
9,Agricultural Economist,"Analyzes economic aspects of agriculture including market pricing, global trade, and policy impacts.","Economics, Data analysis, Modeling, Policy knowledge, Research","Price analysis model, Farm income study, Policy impact analysis, Market trends, Report"
10,Farm Operations Manager,Manages farm activities using integrated technology to improve productivity and operational efficiency.,"Farm management, Technology tools, Operations, Analytics, Leadership","Farm workflow system, Resource planning, Productivity dashboard, Automation plan, Cost analysis"
11,Agri IoT Engineer,"Develops IoT-based systems for monitoring crops, soil, and environmental conditions in real-time.","IoT, Sensors, Embedded systems, Programming, Networking","IoT farm system, Sensor network, Monitoring dashboard, Automation system, Data analysis"
12,Soil Scientist,"Studies soil composition, fertility, and management to improve agricultural productivity.","Soil science, Lab analysis, Data interpretation, Agriculture knowledge, Research","Soil testing, Fertility analysis, Soil classification, Improvement plan, Report"
13,Agri Drone Specialist,"Uses drones for precision crop monitoring, automated spraying, and large-scale data collection.","Drone operation, GIS, Imaging, Data analysis, Agriculture","Drone mapping, Crop monitoring, Spray simulation, Image analysis, Dashboard"
14,Sustainable Supply Chain Manager,"Ensures supply chains are environmentally friendly, ethical, and operationally efficient.","Supply chain, Sustainability, Analytics, Logistics, Strategy","Green supply chain model, Waste reduction plan, Logistics optimization, Carbon footprint analysis, Dashboard"
15,Agronomy Specialist,Focuses on crop production and advanced soil management techniques to improve overall yield.,"Agronomy, Crop science, Soil management, Data analysis, Research","Crop study, Yield optimization, Soil analysis, Crop rotation, Report"
16,Hydroponics Engineer,Designs systems to grow plants without soil using nutrient-rich water solutions and climate control.,"Hydroponics, Engineering, Water systems, Biology, Automation","Hydroponic setup, Nutrient system, Growth analysis, Automation, Dashboard"
17,Environmental Data Analyst,Analyzes environmental data to support sustainable agriculture practices and conservation.,"Data analysis, GIS, Environmental science, Python, Visualization","Environmental dataset, Analysis, Dashboard, Trend study, Report"
18,Agri Product Manager,"Leads development of agricultural technology products, software platforms, and hardware solutions.","Product management, Agriculture, UX, Analytics, Strategy","Product roadmap, MVP design, User research, Feature prioritization, Dashboard"
19,Renewable Energy Specialist (Agri),Implements renewable energy solutions like solar and wind power in agricultural operations.,"Renewable energy, Engineering, Sustainability, Analysis, Systems","Solar farm model, Energy analysis, Cost-benefit, System design, Report"
20,Food Safety Analyst,Ensures food products meet safety and quality standards from farm to point of consumption.,"Food safety, Regulations, Analysis, Inspection, Reporting","Safety audit, Risk analysis, Monitoring system, Report, Dashboard"
21,Vertical Farming Specialist,Designs and manages indoor vertical farms using controlled environments to maximize yield.,"Controlled environment agriculture, Hydroponics/aeroponics, IoT systems, Data monitoring, Plant science","Vertical farm design, Lighting optimization system, Growth monitoring dashboard, Nutrient control model, Yield analysis"
